timestamp,server_rack,temperature,humidity,power_consumption,vibration,is_anomaly
"2025-10-07T12:01:43.743Z","R5",19.09,41.65,4087.94,0.5334,0
"2025-10-07T12:06:43.743Z","R9",19.02,40.55,4069.4,0.2649,0
"2025-10-07T12:11:43.743Z","R7",18.29,40.57,3952.21,0.1021,0
"2025-10-07T12:16:43.743Z","R3",18.39,39.37,4072.53,0.4533,0
"2025-10-07T12:21:43.743Z","R6",19.06,41.05,3955.25,0.4698,0
"2025-10-07T12:26:43.743Z","R4",19.52,38.35,4075.86,0.5386,0
"2025-10-07T12:31:43.743Z","R10",51.5,64.96,7049.14,6.263,1
"2025-10-07T12:36:43.743Z","R5",19.51,38.91,4076.77,0.5758,0
"2025-10-07T12:41:43.743Z","R10",51.37,61.6,7900.15,4.5961,1
"2025-10-07T12:46:43.743Z","R8",19.3,39.1,4004.24,0.2884,0
"2025-10-07T12:51:43.743Z","R5",18.43,39.38,3949.79,0.2924,0
"2025-10-07T12:56:43.743Z","R8",18.76,42.22,3942.24,0.2131,0
"2025-10-07T13:01:43.743Z","R6",20.17,39.13,4200.97,0.5664,0
"2025-10-07T13:06:43.743Z","R9",20.16,38.46,4134.85,0.5263,0
"2025-10-07T13:11:43.743Z","R4",18.84,41.6,4041.92,0.4293,0
"2025-10-07T13:16:43.743Z","R6",19.6,43.02,4146.2,0.4514,0
"2025-10-07T13:21:43.743Z","R5",39.55,56.72,7106.77,4.7806,1
"2025-10-07T13:26:43.743Z","R7",19.25,38.92,4100.96,0.1891,0
"2025-10-07T13:31:43.743Z","R10",19.38,39.89,4092.72,0.5827,0
"2025-10-07T13:36:43.743Z","R10",34.43,62.71,6548.79,2.1389,1
"2025-10-07T13:41:43.743Z","R6",37.76,57.63,7383.42,6.6041,1
"2025-10-07T13:46:43.743Z","R6",18.49,40.89,4110.07,0.1997,0
"2025-10-07T13:51:43.743Z","R10",48.64,54,9806.19,5.504,1
"2025-10-07T13:56:43.743Z","R3",19.13,41.71,4038.76,0.2933,0
"2025-10-07T14:01:43.743Z","R9",20.24,40.51,4212.77,0.3006,0
"2025-10-07T14:06:43.743Z","R2",43.39,63.91,10338.76,2.7478,1
"2025-10-07T14:11:43.743Z","R9",20.71,39.9,4286.18,0.5376,0
"2025-10-07T14:16:43.743Z","R2",20.86,42.88,4318.08,0.1715,0
"2025-10-07T14:21:43.743Z","R3",19.44,40.96,4350.23,0.4674,0
"2025-10-07T14:26:43.743Z","R6",51.37,52.93,8382.35,5.5446,1
"2025-10-07T14:31:43.743Z","R1",18.99,42.68,4280.52,0.1888,0
"2025-10-07T14:36:43.743Z","R8",20.03,43.93,4243.94,0.3051,0
"2025-10-07T14:41:43.743Z","R7",20.39,42.53,4369.85,0.4601,0
"2025-10-07T14:46:43.743Z","R3",20.66,42.87,4313.87,0.3586,0
"2025-10-07T14:51:43.743Z","R2",19.95,39.49,4239.06,0.4933,0
"2025-10-07T14:56:43.743Z","R1",20.34,42.65,4198.84,0.5446,0
"2025-10-07T15:01:43.743Z","R10",35.59,68.6,9661.42,2.9848,1
"2025-10-07T15:06:43.743Z","R8",19.66,41.79,4454.52,0.4994,0
"2025-10-07T15:11:43.743Z","R10",21.09,44.38,4583.65,0.4748,0
"2025-10-07T15:16:43.743Z","R1",20.3,41.28,4560.95,0.5571,0
"2025-10-07T15:21:43.743Z","R8",21.28,40.34,4483.79,0.5513,0
